id,name,length,owners,suppliers,rfs,rfs_year,is_planned,url,notes,n_landing_points,countries
s-u-b-cable-system,S-U-B Cable System,"2,009 km",Telkom Indonesia,NEC,2008,2008.0,False,,,3,Indonesia
saba-statia-cable-system-sscs,"Saba, Statia Cable System (SSCS)",198 km,Government of the Netherlands,,2013,2013.0,False,http://www.sscsbv.com,,5,"Bonaire, Sint Eustatius and Saba, Saint Barthélemy, Saint Kitts and Nevis, Sint Maarten"
safe,SAFE,"13,500 km","AT&T, Angola Telecom, BICS, Camtel, China Telecom, Chunghwa Telecom, Cogent, Ghana Telecommunications Company, KPN, Liquid Intelligent Technologies, Maroc Telecom, Mauritius Telecom, NATCOM (Nigeria), OPT, Orange, Orange Cote d’Ivoire, PCCW, Singtel, Sonatel, Sparkle, Tata Communications, Telecom Namibia, Telefonica, Telekom Malaysia, Telkom South Africa, Telstra, Verizon, Vodafone",SubCom,2002 April,2002.0,False,,,6,"India, Malaysia, Mauritius, Réunion, South Africa"
sagres,Sagres,302 km,Altice Portugal,,1998 July,1998.0,False,,,2,Portugal
sakhalin-kuril-islands-cable,Sakhalin-Kuril Islands Cable,940 km,Rostelecom,HMN Tech,2019 March,2019.0,False,https://www.company.rt.ru/,,4,Russia
samoa-american-samoa-sas,Samoa-American Samoa (SAS),250 km,"American Samoa Government, Elandia",,2009 May,2009.0,False,,,2,"American Samoa, Samoa"
san-andres-isla-tolu-submarine-cable-sait,San Andres Isla Tolu Submarine Cable (SAIT),826 km,Energía Integral Andina,,2010 December,2010.0,False,,,2,Colombia
sape-labuan-bajo-ende-kupang,Sape-Labuan Bajo-Ende-Kupang,474 km,Moratelindo,,2021 Q1,2021.0,False,http://moratelindo.co.id,,4,Indonesia
sarco,SARCO,,Free,,2006,2006.0,False,,,2,"France, Italy"
sat-3wasc,SAT-3/WASC,"14,350 km","AT&T, Altice Portugal, Angola Telecom, BICS, BT, Camtel, China Telecom, Chunghwa Telecom, Cogent, Cyta, Deutsche Telekom, Ghana Telecommunications Company, KPN, KT, Liquid Intelligent Technologies, Maroc Telecom, Mauritius Telecom, NATCOM (Nigeria), OPT, Orange, Orange Cote d’Ivoire, PCCW, SBIN (La Société Béninoise d’Infrastructures Numériques), Singtel, Sparkle, Tata Communications, Telecom Namibia, Telekom Malaysia, Telkom South Africa, Telstra, Telxius, Verizon, Vodafone",ASN,2002 April,2002.0,False,,,12,"Angola, Benin, Cameroon, Côte d'Ivoire, Gabon, Ghana, Nigeria, Portugal, Senegal, South Africa, Spain"
saudi-arabia-sudan-1-sas-1,Saudi Arabia-Sudan-1 (SAS-1),333 km,"Sudatel, The Arab Investment Company, center3",ASN,2003 April,2003.0,False,,,2,"Saudi Arabia, Sudan"
saudi-arabia-sudan-2-sas-2,Saudi Arabia-Sudan-2 (SAS-2),330 km,"Sudatel, center3",,2011 July,2011.0,False,,,2,"Saudi Arabia, Sudan"
saudi-vision,Saudi Vision,"1,071 km",center3,ASN,2023 May,2023.0,False,https://center3.com/,,4,Saudi Arabia
scandinavian-ring-north,Scandinavian Ring North,5 km,Arelion,Ericsson,2000,2000.0,False,,,2,"Denmark, Sweden"
scandinavian-ring-south,Scandinavian Ring South,21 km,Arelion,Ericsson,2000,2000.0,False,,,2,"Denmark, Sweden"
scotland-northern-ireland-3,Scotland-Northern Ireland 3,42 km,BT,,2022,2022.0,False,,,2,United Kingdom
scotland-northern-ireland-4,Scotland-Northern Ireland 4,85 km,BT,,2022,2022.0,False,,,2,United Kingdom
scylla,Scylla,204 km,euNetworks,,2021 August,2021.0,False,http://www.eunetworks.com,,2,"Netherlands, United Kingdom"
